,ba_deppression,ba_anxiety,random,model
0,0.5266749379652605,0.5,50,SVC
1,0.5049627791563276,0.5,51,SVC
2,0.4798387096774194,0.5,52,SVC
3,0.5204714640198511,0.49242424242424243,53,SVC
4,0.5062034739454094,0.5,54,SVC
5,0.55924317617866,0.49242424242424243,55,SVC
6,0.5282258064516129,0.5,56,SVC
7,0.5536600496277916,0.45454545454545453,57,SVC
8,0.5713399503722084,0.49242424242424243,58,SVC
9,0.5201612903225806,0.5,59,SVC
10,0.5347394540942928,0.509469696969697,60,SVC
11,0.5108560794044665,0.5,61,SVC
12,0.4267990074441687,0.49526515151515155,62,SVC
13,0.5300868486352357,0.5,63,SVC
14,0.5155086848635236,0.5,64,SVC
15,0.5477667493796526,0.5,65,SVC
16,0.5517990074441688,0.5085227272727273,66,SVC
17,0.5660669975186104,0.47537878787878785,67,SVC
18,0.5787841191066998,0.5,68,SVC
19,0.49286600496277916,0.5,69,SVC
20,0.5763027295285359,0.5,70,SVC
21,0.4981389578163772,0.5,71,SVC
22,0.49627791563275436,0.5104166666666666,72,SVC
23,0.5983250620347395,0.5,73,SVC
24,0.45688585607940446,0.5,74,SVC
25,0.5161290322580645,0.46117424242424243,50,kNN
26,0.4885235732009926,0.5123106060606061,51,kNN
27,0.5545905707196029,0.5871212121212122,52,kNN
28,0.5083746898263027,0.4744318181818182,53,kNN
29,0.5003101736972705,0.4952651515151515,54,kNN
30,0.5176799007444168,0.509469696969697,55,kNN
31,0.4953473945409429,0.4053030303030303,56,kNN
32,0.4953473945409429,0.39962121212121215,57,kNN
33,0.4761166253101737,0.47916666666666663,58,kNN
34,0.5741315136476427,0.4867424242424242,59,kNN
35,0.4857320099255583,0.4412878787878788,60,kNN
36,0.5145781637717122,0.5123106060606061,61,kNN
37,0.515818858560794,0.5066287878787878,62,kNN
38,0.5437344913151365,0.4668560606060606,63,kNN
39,0.561104218362283,0.5558712121212122,64,kNN
40,0.48232009925558317,0.5464015151515151,65,kNN
41,0.47580645161290325,0.4384469696969697,66,kNN
42,0.5452853598014888,0.4772727272727273,67,kNN
43,0.5319478908188585,0.4990530303030303,68,kNN
44,0.5096153846153846,0.4659090909090909,69,kNN
45,0.4392059553349876,0.5265151515151515,70,kNN
46,0.5245037220843672,0.5482954545454546,71,kNN
47,0.559863523573201,0.509469696969697,72,kNN
48,0.4885235732009926,0.4554924242424242,73,kNN
49,0.5294665012406948,0.5208333333333333,74,kNN
50,0.48728287841191065,0.4602272727272727,50,RF
51,0.41811414392059554,0.4772727272727273,51,RF
52,0.5145781637717122,0.5975378787878788,52,RF
53,0.4906947890818859,0.4772727272727273,53,RF
54,0.40384615384615385,0.35890151515151514,54,RF
55,0.5400124069478909,0.5170454545454546,55,RF
56,0.5083746898263027,0.3977272727272727,56,RF
57,0.5241935483870968,0.5208333333333334,57,RF
58,0.5083746898263027,0.49053030303030304,58,RF
59,0.5502481389578163,0.4914772727272727,59,RF
60,0.4953473945409429,0.4876893939393939,60,RF
61,0.49844913151364767,0.5075757575757576,61,RF
62,0.4630893300248139,0.5104166666666666,62,RF
63,0.5130272952853598,0.5416666666666666,63,RF
64,0.5418734491315137,0.5378787878787878,64,RF
65,0.5034119106699753,0.5293560606060606,65,RF
66,0.5195409429280398,0.4649621212121212,66,RF
67,0.527605459057072,0.5009469696969697,67,RF
68,0.5468362282878412,0.5331439393939394,68,RF
69,0.48883374689826303,0.5028409090909091,69,RF
70,0.5068238213399504,0.5236742424242424,70,RF
71,0.4361042183622829,0.46212121212121215,71,RF
72,0.5291563275434243,0.45075757575757575,72,RF
73,0.5241935483870968,0.4810606060606061,73,RF
74,0.5179900744416873,0.5132575757575757,74,RF
75,0.499379652605459,0.5,50,LR
76,0.5632754342431762,0.5,51,LR
77,0.5133374689826302,0.5,52,LR
78,0.5412531017369727,0.49242424242424243,53,LR
79,0.5009305210918114,0.5,54,LR
80,0.6194168734491315,0.5028409090909091,55,LR
81,0.5632754342431762,0.5265151515151515,56,LR
82,0.5567617866004964,0.5,57,LR
83,0.5700992555831266,0.5028409090909091,58,LR
84,0.5297766749379652,0.487689393939394,59,LR
85,0.5297766749379652,0.5075757575757576,60,LR
86,0.5393920595533499,0.5189393939393939,61,LR
87,0.5226426799007444,0.5104166666666666,62,LR
88,0.5539702233250621,0.49526515151515155,63,LR
89,0.5009305210918114,0.5208333333333334,64,LR
90,0.5635856079404467,0.5,65,LR
91,0.5359801488833746,0.5056818181818182,66,LR
92,0.6048387096774194,0.4943181818181818,67,LR
93,0.6305831265508686,0.5416666666666666,68,LR
94,0.510545905707196,0.5,69,LR
95,0.5998759305210918,0.5132575757575758,70,LR
96,0.4655707196029777,0.49242424242424243,71,LR
97,0.4848014888337469,0.5236742424242424,72,LR
98,0.5617245657568238,0.5,73,LR
99,0.5151985111662531,0.5,74,LR
100,0.499379652605459,0.5,50,XG
101,0.5632754342431762,0.5,51,XG
102,0.5133374689826302,0.5,52,XG
103,0.5412531017369727,0.49242424242424243,53,XG
104,0.5009305210918114,0.5,54,XG
105,0.6194168734491315,0.5028409090909091,55,XG
106,0.5632754342431762,0.5265151515151515,56,XG
107,0.5567617866004964,0.5,57,XG
108,0.5700992555831266,0.5028409090909091,58,XG
109,0.5297766749379652,0.487689393939394,59,XG
110,0.5297766749379652,0.5075757575757576,60,XG
111,0.5393920595533499,0.5189393939393939,61,XG
112,0.5226426799007444,0.5104166666666666,62,XG
113,0.5539702233250621,0.49526515151515155,63,XG
114,0.5009305210918114,0.5208333333333334,64,XG
